instructionCount,66
NONE,0
ALU,37
SHIFT,10
LOAD,7
STORE,5
BRANCH,4
JUMP,2
OTHER,1
NONE,0
sll,10
srl,0
jr,0
add,0
addu,13
sub,0
subu,0
and,0
or,0
xor,0
nor,0
slt,4
sltu,0
j,1
jal,1
beq,0
bne,4
addi,9
addiu,2
slti,0
sltiu,0
andi,0
ori,5
xori,0
lui,4
lb,0
lh,0
lw,7
lbu,0
lhu,0
sb,0
sh,0
sw,5
syscall,1
